company_id,year,Debt to Equity,Interest Coverage,Debt Ratio
HINDUNILVR,Mar 2022,0.02,180.77,1.0
HINDUNILVR,Mar 2023,0.02,103.65,1.0
HINDUNILVR,Mar 2024,0.03,57.82,1.0
ICICIBANK,Mar 2013,7.09,1.08,1.0
ICICIBANK,Mar 2014,7.11,1.09,1.0
ICICIBANK,Mar 2015,7.05,1.1,1.0
ICICIBANK,Mar 2016,7.13,1.24,1.0
ICICIBANK,Mar 2017,6.7,1.22,1.0
ICICIBANK,Mar 2018,7.37,1.28,1.0
ICICIBANK,Mar 2019,7.8,1.41,1.0
ICICIBANK,Mar 2020,8.25,1.31,1.0
ICICIBANK,Mar 2021,7.0,1.27,1.0
ICICIBANK,Mar 2022,6.88,1.3,1.0
ICICIBANK,Mar 2023,6.53,1.35,1.0
ICICIBANK,Mar 2024,6.45,1.3,1.0
ICICIGI,Mar 2013,0.0,7.15,1.0
ICICIGI,Mar 2014,0.0,5.6,1.0
ICICIGI,Mar 2015,0.0,4.49,1.0
ICICIGI,Mar 2016,0.0,,1.0
ICICIGI,Mar 2017,0.12,-3300.5,1.0
ICICIGI,Mar 2018,0.11,4.57,1.0
ICICIGI,Mar 2019,0.09,-4747.0,1.0
ICICIGI,Mar 2020,0.08,649.67,1.0
ICICIGI,Mar 2021,0.06,840.83,1.0
ICICIGI,Mar 2022,0.03,18.55,1.0
ICICIGI,Mar 2023,0.0,16.76,1.0
ICICIGI,Mar 2024,0.0,159.91,1.0
ICICIPRULI,Mar 2013,0.0,21.42,1.0
ICICIPRULI,Mar 2014,0.0,158.02,1.0
ICICIPRULI,Mar 2015,0.0,762.74,1.0
ICICIPRULI,Mar 2016,0.19,,1.0
ICICIPRULI,Mar 2017,0.0,277.0,1.0
ICICIPRULI,Mar 2018,0.0,280.77,1.0
ICICIPRULI,Mar 2019,0.0,50.33,1.0
ICICIPRULI,Mar 2020,0.0,13.53,1.0
ICICIPRULI,Mar 2021,0.13,50.07,1.0
ICICIPRULI,Mar 2022,0.13,20.6,1.0
ICICIPRULI,Mar 2023,0.12,17.86,1.0
ICICIPRULI,Mar 2024,0.11,31.02,1.0
INDIGO,Mar 2013,2.5,28.2,1.0
INDIGO,Mar 2014,3.18,27.32,1.0
INDIGO,Mar 2015,0.15,30.44,1.0
INDIGO,Mar 2016,0.06,25.2,1.0
INDIGO,Mar 2017,0.53,20.74,1.0
INDIGO,Mar 2018,0.54,21.11,1.0
INDIGO,Mar 2019,0.68,21.62,1.0
INDIGO,Mar 2020,0.42,20.7,1.0
INDIGO,Mar 2021,0.02,14.13,1.0
INDIGO,Mar 2022,0.02,35.0,1.0
INDIGO,Mar 2023,0.02,33.49,1.0
INDIGO,Mar 2024,0.02,22.6,1.0
INDUSINDBK,Mar 2013,8.33,1.43,1.0
INDUSINDBK,Mar 2014,8.32,1.35,1.0
INDUSINDBK,Mar 2015,8.9,1.23,1.0
INDUSINDBK,Mar 2016,6.67,1.27,1.0
INDUSINDBK,Mar 2017,7.22,1.36,1.0
INDUSINDBK,Mar 2018,7.97,1.38,1.0
INDUSINDBK,Mar 2019,9.08,1.64,1.0
INDUSINDBK,Mar 2020,7.57,1.81,1.0
INDUSINDBK,Mar 2021,7.09,2.44,1.0
INDUSINDBK,Mar 2022,7.15,2.16,1.0
INDUSINDBK,Mar 2023,7.06,1.9,1.0
INDUSINDBK,Mar 2024,6.89,1.88,1.0
INFY,Mar 2013,0.0,2307.6,1.0
INFY,Mar 2014,0.0,1487.78,1.0
INFY,Mar 2015,0.0,1240.25,1.0
INFY,Mar 2016,0.0,,1.0
INFY,Mar 2017,0.0,,1.0
INFY,Mar 2018,0.0,,1.0
INFY,Mar 2019,0.0,,1.0
INFY,Mar 2020,0.07,130.98,1.0
INFY,Mar 2021,0.07,143.02,1.0
INFY,Mar 2022,0.07,157.46,1.0
INFY,Mar 2023,0.11,123.7,1.0
INFY,Mar 2024,0.09,77.5,1.0
IOC,Mar 2013,1.42,1.93,1.0
IOC,Mar 2014,1.4,2.9,1.0
IOC,Mar 2015,0.94,2.52,1.0
IOC,Mar 2016,0.65,6.32,1.0
IOC,Mar 2017,0.62,9.12,1.0
IOC,Mar 2018,0.58,10.75,1.0
IOC,Mar 2019,0.86,7.16,1.0
IOC,Mar 2020,1.36,2.77,1.0
IOC,Mar 2021,1.04,13.61,1.0
IOC,Mar 2022,0.99,8.76,1.0
IOC,Mar 2023,1.07,4.04,1.0
IOC,Mar 2024,0.72,9.6,1.0
IRCTC,Mar 2015,0.0,,1.0
IRCTC,Mar 2016,0.0,,1.0
IRCTC,Mar 2017,0.0,104.67,1.0
IRCTC,Mar 2018,0.0,91.33,1.0
IRCTC,Mar 2019,0.0,191.5,1.0
IRCTC,Mar 2020,0.0,70.3,1.0
IRCTC,Mar 2021,0.05,23.5,1.0
IRCTC,Mar 2022,0.06,79.45,1.0
IRCTC,Mar 2023,0.03,79.75,1.0
IRCTC,Mar 2024,0.02,77.16,1.0
IRFC,Mar 2013,9.19,1.36,1.0
IRFC,Mar 2014,9.25,1.34,1.0
IRFC,Mar 2015,8.21,1.38,1.0
IRFC,Mar 2016,7.59,1.35,1.0
IRFC,Mar 2017,8.86,1.31,1.0
IRFC,Mar 2018,9.62,1.39,1.0
IRFC,Mar 2019,6.95,1.35,1.0
IRFC,Mar 2020,7.74,1.31,1.0
IRFC,Mar 2021,9.0,1.39,1.0
IRFC,Mar 2022,9.47,1.43,1.0
IRFC,Mar 2023,9.38,1.35,1.0
IRFC,Mar 2024,8.38,1.32,1.0
ITC,Mar 2013,0.0,103.9,1.0
ITC,Mar 2014,0.01,451.03,1.0
ITC,Mar 2015,0.01,156.62,1.0
ITC,Mar 2016,0.0,186.29,1.0
ITC,Mar 2017,0.0,315.71,1.0
ITC,Mar 2018,0.0,143.66,1.0
ITC,Mar 2019,0.0,261.08,1.0
ITC,Mar 2020,0.0,238.81,1.0
ITC,Mar 2021,0.0,294.22,1.0
ITC,Mar 2022,0.0,343.72,1.0
ITC,Mar 2023,0.0,329.54,1.0
ITC,Mar 2024,0.0,327.91,1.0
ONGC,Mar 2013,0.14,89.88,1.0
ONGC,Mar 2014,0.29,78.73,1.0
ONGC,Mar 2015,0.3,14.77,1.0
ONGC,Mar 2016,0.23,10.39,1.0
ONGC,Mar 2017,0.41,14.7,1.0
ONGC,Mar 2018,0.52,11.38,1.0
ONGC,Mar 2019,0.5,12.82,1.0
ONGC,Mar 2020,0.63,6.96,1.0
ONGC,Mar 2021,0.6,9.74,1.0
ONGC,Mar 2022,0.47,14.02,1.0
ONGC,Mar 2023,0.51,9.57,1.0
ONGC,Mar 2024,0.45,10.09,1.0
NTPC,Mar 2013,0.87,7.29,1.0
NTPC,Mar 2014,0.93,6.05,1.0
NTPC,Mar 2015,1.25,4.73,1.0
NTPC,Mar 2016,1.09,5.52,1.0
NTPC,Mar 2017,1.16,5.75,1.0
NTPC,Mar 2018,1.26,5.06,1.0
NTPC,Mar 2019,1.55,4.05,1.0
NTPC,Mar 2020,1.71,3.86,1.0
NTPC,Mar 2021,1.67,3.69,1.0
NTPC,Mar 2022,1.56,4.3,1.0
NTPC,Mar 2023,1.52,4.16,1.0
NTPC,Mar 2024,1.48,4.18,1.0
NHPC,Mar 2013,0.68,6.8,1.0
NHPC,Mar 2014,0.74,3.61,1.0
NHPC,Mar 2015,0.67,3.96,1.0
NHPC,Mar 2016,0.63,4.12,1.0
NHPC,Mar 2017,0.66,4.31,1.0
NHPC,Mar 2018,0.62,4.6,1.0
NHPC,Mar 2019,0.62,5.56,1.0
NHPC,Mar 2020,0.74,6.21,1.0
NHPC,Mar 2021,0.71,9.15,1.0
NHPC,Mar 2022,0.75,6.85,1.0
NHPC,Mar 2023,0.8,13.02,1.0
NHPC,Mar 2024,0.84,7.91,1.0
NESTLEIND,Dec 2013,0.5,52.65,1.0
NESTLEIND,Dec 2014,0.01,145.64,1.0
NESTLEIND,Dec 2015,0.01,518.33,1.0
NESTLEIND,Dec 2016,0.01,20.33,1.0
NESTLEIND,Dec 2017,0.01,22.79,1.0
NESTLEIND,Dec 2018,0.01,23.38,1.0
NESTLEIND,Dec 2019,0.1,22.68,1.0
NESTLEIND,Dec 2020,0.07,19.52,1.0
NESTLEIND,Dec 2021,0.14,17.63,1.0
NESTLEIND,Dec 2022,0.11,23.91,1.0
NESTLEIND,Dec 2023,0.11,37.57,1.0
NESTLEIND,Mar 2024,0.1,40.09,1.0
NAUKRI,Mar 2013,0.0,40.33,1.0
NAUKRI,Mar 2014,0.0,32.33,1.0
NAUKRI,Mar 2015,0.0,5.25,1.0
NAUKRI,Mar 2016,0.0,30.33,1.0
NAUKRI,Mar 2017,0.0,-2.25,1.0
NAUKRI,Mar 2018,0.0,43.8,1.0
NAUKRI,Mar 2019,0.0,1.29,1.0
NAUKRI,Mar 2020,0.04,-25.0,1.0
NAUKRI,Mar 2021,0.01,6.73,1.0
NAUKRI,Mar 2022,0.0,40.55,1.0
NAUKRI,Mar 2023,0.01,19.33,1.0
NAUKRI,Mar 2024,0.01,20.31,1.0
MOTHERSON,Mar 2013,2.14,5.92,1.0
MOTHERSON,Mar 2014,1.64,8.15,1.0
MOTHERSON,Mar 2015,1.54,8.94,1.0
MOTHERSON,Mar 2016,1.38,10.28,1.0
MOTHERSON,Mar 2017,1.25,11.12,1.0
MOTHERSON,Mar 2018,1.05,12.48,1.0
MOTHERSON,Mar 2019,1.05,12.64,1.0
MOTHERSON,Mar 2020,1.17,7.85,1.0
MOTHERSON,Mar 2021,0.95,8.54,1.0
MOTHERSON,Mar 2022,0.69,8.68,1.0
MOTHERSON,Mar 2023,0.61,8.0,1.0
MOTHERSON,Mar 2024,0.76,5.15,1.0
MARUTI,Mar 2013,0.08,22.03,1.0
MARUTI,Mar 2014,0.09,28.86,1.0
MARUTI,Mar 2015,0.03,31.61,1.0
MARUTI,Mar 2016,0.01,110.05,1.0
MARUTI,Mar 2017,0.01,117.09,1.0
MARUTI,Mar 2018,0.0,35.02,1.0
MARUTI,Mar 2019,0.0,145.47,1.0
MARUTI,Mar 2020,0.0,54.89,1.0
MARUTI,Mar 2021,0.01,53.05,1.0
MARUTI,Mar 2022,0.01,45.29,1.0
MARUTI,Mar 2023,0.02,52.07,1.0
MARUTI,Mar 2024,0.0,96.01,1.0
M&M,Mar 2013,1.44,3.97,1.0
M&M,Mar 2014,1.51,3.44,1.0
M&M,Mar 2015,1.47,2.79,1.0
M&M,Mar 2016,1.57,2.99,1.0
M&M,Mar 2017,1.64,2.94,1.0
M&M,Mar 2018,1.52,3.32,1.0
M&M,Mar 2019,1.77,3.03,1.0
M&M,Mar 2020,2.05,1.69,1.0
M&M,Mar 2021,1.94,1.88,1.0
M&M,Mar 2022,1.65,2.93,1.0
M&M,Mar 2023,1.64,3.48,1.0
M&M,Mar 2024,1.64,3.32,1.0
LTIM,Mar 2013,0.17,41.43,1.0
LTIM,Mar 2014,0.07,37.0,1.0
LTIM,Mar 2015,0.11,100.5,1.0
LTIM,Mar 2016,0.03,171.33,1.0
LTIM,Mar 2017,0.0,410.0,1.0
LTIM,Mar 2018,0.0,74.19,1.0
LTIM,Mar 2019,0.0,171.18,1.0
LTIM,Mar 2020,0.17,24.45,1.0
LTIM,Mar 2021,0.11,34.49,1.0
LTIM,Mar 2022,0.02,42.67,1.0
LTIM,Mar 2023,0.09,40.72,1.0
LTIM,Mar 2024,0.1,28.77,1.0
LT,Mar 2013,0.17,2.45,1.0
LT,Mar 2014,0.07,2.17,1.0
LT,Mar 2015,0.11,2.16,1.0
LT,Mar 2016,0.03,2.24,1.0
LT,Mar 2017,0.0,2.43,1.0
LT,Mar 2018,0.0,2.61,1.0
LT,Mar 2019,0.0,2.45,1.0
LT,Mar 2020,0.17,2.23,1.0
LT,Mar 2021,0.11,2.0,1.0
LT,Mar 2022,0.02,2.63,1.0
LT,Mar 2023,0.09,2.88,1.0
LT,Mar 2024,0.1,3.14,1.0
LODHA,Mar 2011,7.52,1.8,1.0
LODHA,Mar 2012,3.78,2.85,1.0
LODHA,Mar 2015,3.6,2.98,1.0
LODHA,Mar 2016,3.48,2.15,1.0
LODHA,Mar 2017,4.01,2.19,1.0
LODHA,Mar 2018,4.39,4.31,1.0
LODHA,Mar 2019,6.68,5.6,1.0
LODHA,Mar 2020,4.05,2.59,1.0
LODHA,Mar 2021,3.96,1.22,1.0
LODHA,Mar 2022,0.95,3.18,1.0
LODHA,Mar 2023,0.72,4.28,1.0
LODHA,Mar 2024,0.44,5.53,1.0
LICI,Mar 2019,332.59,,1.0
LICI,Mar 2020,252.91,,1.0
LICI,Mar 2021,0.0,,1.0
LICI,Mar 2022,0.0,,1.0
LICI,Mar 2023,0.0,444.25,1.0
LICI,Mar 2024,0.0,256.09,1.0
KOTAKBANK,Mar 2013,5.6,1.29,1.0
KOTAKBANK,Mar 2014,4.5,1.34,1.0
KOTAKBANK,Mar 2015,4.71,1.19,1.0
KOTAKBANK,Mar 2016,5.39,1.51,1.0
KOTAKBANK,Mar 2017,5.33,1.27,1.0
KOTAKBANK,Mar 2018,4.95,1.23,1.0
KOTAKBANK,Mar 2019,5.05,1.22,1.0
KOTAKBANK,Mar 2020,4.9,1.34,1.0
KOTAKBANK,Mar 2021,3.88,1.26,1.0
KOTAKBANK,Mar 2022,3.78,1.23,1.0
KOTAKBANK,Mar 2023,3.75,1.29,1.0
KOTAKBANK,Mar 2024,4.0,1.24,1.0
JSWSTEEL,Mar 2013,1.27,3.31,1.0
JSWSTEEL,Mar 2014,1.68,3.01,1.0
JSWSTEEL,Mar 2015,1.74,2.68,1.0
JSWSTEEL,Mar 2016,2.23,1.78,1.0
JSWSTEEL,Mar 2017,1.91,3.27,1.0
JSWSTEEL,Mar 2018,1.41,4.03,1.0
JSWSTEEL,Mar 2019,1.36,4.83,1.0
JSWSTEEL,Mar 2020,1.68,2.77,1.0
JSWSTEEL,Mar 2021,1.33,5.1,1.0
JSWSTEEL,Mar 2022,1.07,7.87,1.0
JSWSTEEL,Mar 2023,1.23,2.68,1.0
JSWSTEEL,Mar 2024,1.13,3.47,1.0
JSWENERGY,Mar 2013,1.67,2.91,1.0
JSWENERGY,Mar 2014,1.54,2.7,1.0
JSWENERGY,Mar 2015,1.24,3.19,1.0
JSWENERGY,Mar 2016,1.53,2.69,1.0
JSWENERGY,Mar 2017,1.38,1.97,1.0
JSWENERGY,Mar 2018,1.07,1.86,1.0
JSWENERGY,Mar 2019,0.89,2.4,1.0
JSWENERGY,Mar 2020,0.84,2.81,1.0
JSWENERGY,Mar 2021,0.58,3.25,1.0
JSWENERGY,Mar 2022,0.51,4.6,1.0
JSWENERGY,Mar 2023,1.34,3.89,1.0
JSWENERGY,Mar 2024,1.52,2.62,1.0
JIOFIN,Mar 2023,0.01,,1.0
JIOFIN,Mar 2024,0.0,155.9,1.0
JINDALSTEL,Mar 2013,1.16,5.72,1.0
JINDALSTEL,Mar 2014,1.61,3.21,1.0
JINDALSTEL,Mar 2015,2.16,1.9,1.0
JINDALSTEL,Mar 2016,1.44,1.06,1.0
JINDALSTEL,Mar 2017,1.53,1.37,1.0
JINDALSTEL,Mar 2018,1.41,1.67,1.0
JINDALSTEL,Mar 2019,1.23,1.97,1.0
JINDALSTEL,Mar 2020,1.15,1.81,1.0
JINDALSTEL,Mar 2021,0.94,3.97,1.0
JINDALSTEL,Mar 2022,0.38,8.22,1.0
JINDALSTEL,Mar 2023,0.34,6.88,1.0
JINDALSTEL,Mar 2024,0.37,7.88,1.0
PFC,Mar 2013,5.89,0.54,1.0
PFC,Mar 2014,5.79,0.58,1.0
PFC,Mar 2015,5.79,0.55,1.0
PFC,Mar 2016,5.57,0.55,1.0
PFC,Mar 2017,5.51,0.31,1.0
PFC,Mar 2018,11.07,0.39,1.0
PFC,Mar 2019,11.45,0.51,1.0
PFC,Mar 2020,12.08,0.34,1.0
PFC,Mar 2021,10.86,0.44,1.0
PFC,Mar 2022,9.21,0.52,1.0
PFC,Mar 2023,8.93,0.56,1.0
PFC,Mar 2024,8.52,0.58,1.0
PIDILITIND,Mar 2013,0.07,34.88,1.0
PIDILITIND,Mar 2014,0.02,42.0,1.0
PIDILITIND,Mar 2015,0.03,48.19,1.0
PIDILITIND,Mar 2016,0.03,90.23,1.0
PIDILITIND,Mar 2017,0.03,90.14,1.0
PIDILITIND,Mar 2018,0.03,83.81,1.0
PIDILITIND,Mar 2019,0.03,52.73,1.0
PIDILITIND,Mar 2020,0.06,46.35,1.0
PIDILITIND,Mar 2021,0.06,45.57,1.0
PIDILITIND,Mar 2022,0.06,44.19,1.0
PIDILITIND,Mar 2023,0.05,41.38,1.0
PIDILITIND,Mar 2024,0.05,53.1,1.0
PNB,Mar 2013,10.83,,1.0
PNB,Mar 2014,10.82,,1.0
PNB,Mar 2015,10.44,,1.0
PNB,Mar 2016,12.12,,1.0
PNB,Mar 2017,6.36,,1.0
PNB,Mar 2018,8.19,,1.0
PNB,Mar 2019,9.66,,1.0
PNB,Mar 2020,8.52,,1.0
PNB,Mar 2021,6.7,,1.0
PNB,Mar 2022,5.4,,1.0
PNB,Mar 2023,4.9,,1.0
PNB,Mar 2024,3.68,,1.0
PNB,Mar 2013,10.83,,1.0
PNB,Mar 2014,10.82,,1.0
PNB,Mar 2015,10.44,,1.0
PNB,Mar 2016,12.12,,1.0
PNB,Mar 2017,6.36,,1.0
PNB,Mar 2018,8.19,,1.0
PNB,Mar 2019,9.66,,1.0
PNB,Mar 2020,8.52,,1.0
PNB,Mar 2021,6.7,,1.0
PNB,Mar 2022,5.4,,1.0
PNB,Mar 2023,4.9,,1.0
PNB,Mar 2024,3.68,,1.0
PNB,Mar 2013,10.83,,1.0
PNB,Mar 2014,10.82,,1.0
PNB,Mar 2015,10.44,,1.0
PNB,Mar 2016,12.12,,1.0
PNB,Mar 2017,6.36,,1.0
PNB,Mar 2018,8.19,,1.0
PNB,Mar 2019,9.66,,1.0
PNB,Mar 2020,8.52,,1.0
PNB,Mar 2021,6.7,,1.0
PNB,Mar 2022,5.4,,1.0
PNB,Mar 2023,4.9,,1.0
PNB,Mar 2024,3.68,,1.0
PNB,Mar 2013,10.83,,1.0
PNB,Mar 2014,10.82,,1.0
PNB,Mar 2015,10.44,,1.0
PNB,Mar 2016,12.12,,1.0
PNB,Mar 2017,6.36,,1.0
PNB,Mar 2018,8.19,,1.0
PNB,Mar 2019,9.66,,1.0
PNB,Mar 2020,8.52,,1.0
PNB,Mar 2021,6.7,,1.0
PNB,Mar 2022,5.4,,1.0
PNB,Mar 2023,4.9,,1.0
PNB,Mar 2024,3.68,,1.0
PNB,Mar 2013,10.83,,1.0
PNB,Mar 2014,10.82,,1.0
PNB,Mar 2015,10.44,,1.0
PNB,Mar 2016,12.12,,1.0
PNB,Mar 2017,6.36,,1.0
PNB,Mar 2018,8.19,,1.0
PNB,Mar 2019,9.66,,1.0
PNB,Mar 2020,8.52,,1.0
PNB,Mar 2021,6.7,,1.0
PNB,Mar 2022,5.4,,1.0
PNB,Mar 2023,4.9,,1.0
PNB,Mar 2024,3.68,,1.0
POWERGRID,Mar 2013,2.62,4.17,1.0
POWERGRID,Mar 2014,2.43,3.98,1.0
POWERGRID,Mar 2015,2.5,3.66,1.0
POWERGRID,Mar 2016,2.47,3.58,1.0
POWERGRID,Mar 2017,2.39,3.62,1.0
POWERGRID,Mar 2018,2.42,3.54,1.0
POWERGRID,Mar 2019,2.48,3.08,1.0
POWERGRID,Mar 2020,2.29,3.46,1.0
POWERGRID,Mar 2021,2.05,4.29,1.0
POWERGRID,Mar 2022,1.77,4.46,1.0
POWERGRID,Mar 2023,1.55,4.11,1.0
POWERGRID,Mar 2024,1.42,4.54,1.0
POWERGRID,Mar 2013,2.62,4.17,1.0
POWERGRID,Mar 2014,2.43,3.98,1.0
POWERGRID,Mar 2015,2.5,3.66,1.0
POWERGRID,Mar 2016,2.47,3.58,1.0
POWERGRID,Mar 2017,2.39,3.62,1.0
POWERGRID,Mar 2018,2.42,3.54,1.0
POWERGRID,Mar 2019,2.48,3.08,1.0
POWERGRID,Mar 2020,2.29,3.46,1.0
POWERGRID,Mar 2021,2.05,4.29,1.0
POWERGRID,Mar 2022,1.77,4.46,1.0
POWERGRID,Mar 2023,1.55,4.11,1.0
POWERGRID,Mar 2024,1.42,4.54,1.0
RECLTD,Mar 2013,6.15,1.64,1.0
RECLTD,Mar 2014,6.07,1.66,1.0
RECLTD,Mar 2015,6.02,1.64,1.0
RECLTD,Mar 2016,5.86,1.57,1.0
RECLTD,Mar 2017,4.99,1.67,1.0
RECLTD,Mar 2018,6.27,1.45,1.0
RECLTD,Mar 2019,7.07,1.52,1.0
RECLTD,Mar 2020,8.09,1.37,1.0
RECLTD,Mar 2021,7.53,1.5,1.0
RECLTD,Mar 2022,6.49,1.56,1.0
RECLTD,Mar 2023,6.55,1.59,1.0
RECLTD,Mar 2024,6.42,1.6,1.0
RELIANCE,Mar 2013,0.59,9.57,1.0
RELIANCE,Mar 2014,0.7,9.11,1.0
RELIANCE,Mar 2015,0.77,11.29,1.0
RELIANCE,Mar 2016,0.84,11.32,1.0
RELIANCE,Mar 2017,0.82,12.03,1.0
RELIANCE,Mar 2018,0.82,7.99,1.0
RELIANCE,Mar 2019,0.79,5.11,1.0
RELIANCE,Mar 2020,0.79,4.05,1.0
RELIANCE,Mar 2021,0.4,3.81,1.0
RELIANCE,Mar 2022,0.41,7.45,1.0
RELIANCE,Mar 2023,0.63,7.27,1.0
RELIANCE,Mar 2024,0.58,7.03,1.0
SBILIFE,Mar 2013,0.0,106.75,1.0
SBILIFE,Mar 2014,0.0,102.2,1.0
SBILIFE,Mar 2015,0.0,198.5,1.0
SBILIFE,Mar 2016,0.0,184.0,1.0
SBILIFE,Mar 2017,0.0,213.6,1.0
SBILIFE,Mar 2018,0.0,222.0,1.0
SBILIFE,Mar 2019,0.0,184.25,1.0
SBILIFE,Mar 2020,0.0,,1.0
SBILIFE,Mar 2021,0.0,,1.0
SBILIFE,Mar 2022,0.0,,1.0
SBILIFE,Mar 2023,0.0,12.2,1.0
SBILIFE,Mar 2024,0.0,27.33,1.0
SHREECEM,Jun 2013,0.34,8.09,1.0
SHREECEM,Jun 2014,0.25,10.78,1.0
SHREECEM,Jun 2015,0.17,11.11,1.0
SHREECEM,Mar 2017,0.17,19.48,1.0
SHREECEM,Mar 2018,0.38,18.32,1.0
SHREECEM,Mar 2019,0.29,11.28,1.0
SHREECEM,Mar 2020,0.24,12.96,1.0
SHREECEM,Mar 2021,0.14,16.3,1.0
SHREECEM,Mar 2022,0.12,14.11,1.0
SHREECEM,Mar 2023,0.15,11.25,1.0
SHREECEM,Mar 2024,0.08,17.51,1.0
SHRIRAMFIN,Mar 2013,4.55,0.7,1.0
SHRIRAMFIN,Mar 2014,4.54,0.47,1.0
SHRIRAMFIN,Mar 2015,5.04,0.36,1.0
SHRIRAMFIN,Mar 2016,4.89,0.36,1.0
SHRIRAMFIN,Mar 2017,4.68,0.38,1.0
SHRIRAMFIN,Mar 2018,6.0,0.59,1.0
SHRIRAMFIN,Mar 2019,5.51,0.5,1.0
SHRIRAMFIN,Mar 2020,5.22,0.43,1.0
SHRIRAMFIN,Mar 2021,4.91,0.37,1.0
SHRIRAMFIN,Mar 2022,4.4,0.38,1.0
SHRIRAMFIN,Mar 2023,3.77,0.68,1.0
SHRIRAMFIN,Mar 2024,3.99,0.68,1.0
SIEMENS,Sep 2011,0.0,45.04,1.0
SIEMENS,Sep 2014,0.0,3.84,1.0
SIEMENS,Sep 2015,0.0,33.27,1.0
SIEMENS,Sep 2016,0.0,92.82,1.0
SIEMENS,Sep 2017,0.0,132.0,1.0
SIEMENS,Sep 2018,0.0,165.88,1.0
SIEMENS,Sep 2019,0.0,124.17,1.0
SIEMENS,Sep 2020,0.0,33.43,1.0
SIEMENS,Sep 2021,0.0,60.5,1.0
SIEMENS,Sep 2022,0.02,51.67,1.0
SIEMENS,Sep 2023,0.01,108.13,1.0
SIEMENS,Sep 2024,0.02,51.73,1.0
UNIONBANK,Mar 2013,16.61,0.02,1.0
UNIONBANK,Mar 2014,17.55,-0.04,1.0
UNIONBANK,Mar 2015,17.72,-0.04,1.0
UNIONBANK,Mar 2016,16.26,-0.08,1.0
UNIONBANK,Mar 2017,17.37,-0.2,1.0
UNIONBANK,Mar 2018,18.06,-0.5,1.0
UNIONBANK,Mar 2019,17.17,-0.36,1.0
UNIONBANK,Mar 2020,14.86,-0.37,1.0
UNIONBANK,Mar 2021,15.1,-0.25,1.0
UNIONBANK,Mar 2022,15.32,-0.1,1.0
UNIONBANK,Mar 2023,14.76,-0.06,1.0
UNIONBANK,Mar 2024,12.82,0.07,1.0
SUNPHARMA,Mar 2013,0.02,111.26,1.0
SUNPHARMA,Mar 2014,0.14,159.16,1.0
SUNPHARMA,Mar 2015,0.35,13.63,1.0
SUNPHARMA,Mar 2016,0.26,15.63,1.0
SUNPHARMA,Mar 2017,0.27,25.25,1.0
SUNPHARMA,Mar 2018,0.27,10.87,1.0
SUNPHARMA,Mar 2019,0.25,11.49,1.0
SUNPHARMA,Mar 2020,0.18,23.05,1.0
SUNPHARMA,Mar 2021,0.08,60.07,1.0
SUNPHARMA,Mar 2022,0.03,80.77,1.0
SUNPHARMA,Mar 2023,0.12,67.73,1.0
SUNPHARMA,Mar 2024,0.05,54.7,1.0
ULTRACEMCO,Mar 2013,0.48,19.2,1.0
ULTRACEMCO,Mar 2014,0.43,11.18,1.0
ULTRACEMCO,Mar 2015,0.52,7.54,1.0
ULTRACEMCO,Mar 2016,0.48,8.66,1.0
ULTRACEMCO,Mar 2017,0.35,8.14,1.0
ULTRACEMCO,Mar 2018,0.74,4.96,1.0
ULTRACEMCO,Mar 2019,0.75,4.13,1.0
ULTRACEMCO,Mar 2020,0.59,4.64,1.0
ULTRACEMCO,Mar 2021,0.49,7.78,1.0
ULTRACEMCO,Mar 2022,0.22,12.18,1.0
ULTRACEMCO,Mar 2023,0.2,12.9,1.0
ULTRACEMCO,Mar 2024,0.19,13.4,1.0
TVSMOTOR,Mar 2013,1.19,4.25,1.0
TVSMOTOR,Mar 2014,0.63,6.15,1.0
TVSMOTOR,Mar 2015,0.84,9.76,1.0
TVSMOTOR,Mar 2016,0.6,11.7,1.0
TVSMOTOR,Mar 2017,0.59,14.52,1.0
TVSMOTOR,Mar 2018,2.59,4.65,1.0
TVSMOTOR,Mar 2019,2.93,3.26,1.0
TVSMOTOR,Mar 2020,3.53,2.65,1.0
TVSMOTOR,Mar 2021,3.18,2.53,1.0
TVSMOTOR,Mar 2022,3.6,2.93,1.0
TVSMOTOR,Mar 2023,4.06,2.94,1.0
TVSMOTOR,Mar 2024,3.83,2.85,1.0
TRENT,Mar 2013,0.28,0.17,1.0
TRENT,Mar 2014,0.34,-0.38,1.0
TRENT,Mar 2015,0.19,4.0,1.0
TRENT,Mar 2016,0.27,1.88,1.0
TRENT,Mar 2017,0.25,2.91,1.0
TRENT,Mar 2018,0.25,4.73,1.0
TRENT,Mar 2019,0.3,4.73,1.0
TRENT,Mar 2020,0.13,2.01,1.0
TRENT,Mar 2021,0.13,0.44,1.0
TRENT,Mar 2022,2.0,1.83,1.0
TRENT,Mar 2023,1.72,2.72,1.0
TRENT,Mar 2024,0.43,5.36,1.0
TORNTPHARM,Mar 2013,0.49,20.5,1.0
TORNTPHARM,Mar 2014,0.59,16.19,1.0
TORNTPHARM,Mar 2015,1.1,5.83,1.0
TORNTPHARM,Mar 2016,0.67,14.85,1.0
TORNTPHARM,Mar 2017,0.58,6.68,1.0
TORNTPHARM,Mar 2018,1.4,4.38,1.0
TORNTPHARM,Mar 2019,1.28,3.93,1.0
TORNTPHARM,Mar 2020,1.2,4.81,1.0
