id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,Net Profit Margin,Operating Profit Margin,ROE,ROCE,ROA,Difference
630,HINDUNILVR,Mar 2024,61896,334,47237.0,14659.0,24,817,1216,13926,26.0,10282,44.0,96.0,717,235.0,50983,1484,25787,78489,53744,1025,4625,19095,78489,16.61,76.32,20.07,89.63,13.1,14582.68
632,ICICIBANK,Mar 2013,44885,28285,31684.0,-15085.0,-34,29320,625,13610,26.0,10130,15.0,24.0,719,1154.0,67609,487659,118401,674822,5473,0,255667,413682,674822,22.57,70.59,14.73,5.69,1.5,15155.59
633,ICICIBANK,Mar 2014,49479,29711,32852.0,-13084.0,-26,30085,719,16282,28.0,11677,17.0,24.0,720,1155.0,75275,543055,128278,747762,5507,0,267609,474646,747762,23.6,66.4,15.28,5.3,1.56,13150.4
634,ICICIBANK,Mar 2015,54964,32318,38766.0,-16120.0,-29,35252,798,18334,29.0,12942,19.0,24.0,721,1160.0,83545,597207,144167,826079,5871,0,274311,545897,826079,23.55,70.53,15.28,5.68,1.57,16190.53
635,ICICIBANK,Mar 2016,59294,33996,52252.0,-26955.0,-45,42102,843,14304,24.0,10927,16.0,29.0,722,1163.0,92948,671455,153190,918756,8713,0,286044,623999,918756,18.43,88.12,11.61,6.83,1.19,27043.12
636,ICICIBANK,Mar 2017,60940,34836,63841.0,-37737.0,-62,52458,912,13809,18.0,11340,16.0,14.0,723,1165.0,103467,700874,180219,985725,9338,0,304373,672013,985725,18.61,104.76,10.84,7.93,1.15,37841.76
637,ICICIBANK,Mar 2018,62162,34262,72806.0,-44906.0,-72,56807,922,10978,17.0,9100,12.0,12.0,724,1286.0,109344,815198,198453,1124281,9465,0,372208,742608,1124281,14.64,117.12,8.23,7.86,0.81,45023.12
638,ICICIBANK,Mar 2019,71982,39178,83775.0,-50971.0,-71,59325,946,7408,23.0,5689,7.0,15.0,725,1289.0,112964,891641,232899,1238794,9660,0,398201,830933,1238794,7.9,116.38,4.98,8.33,0.46,51087.38
639,ICICIBANK,Mar 2020,84836,44666,85361.0,-45190.0,-53,64950,1171,18589,40.0,11225,15.0,0.0,726,1295.0,121665,1014636,239696,1377292,10409,0,443473,923411,1377292,13.23,100.62,9.13,7.5,0.82,45290.62
640,ICICIBANK,Mar 2021,89163,42659,91309.0,-44805.0,-50,72174,1340,26028,22.0,20364,27.0,8.0,727,1383.0,156204,1103840,312385,1573812,10809,0,536579,1026424,1573812,22.84,102.41,12.92,7.24,1.29,44907.41
641,ICICIBANK,Mar 2022,95407,41167,80798.0,-26558.0,-28,62129,1330,34241,25.0,26538,36.0,14.0,728,1390.0,180663,1252968,317616,1752637,10707,0,567098,1174833,1752637,27.82,84.69,14.58,5.63,1.51,26642.69
642,ICICIBANK,Mar 2023,121067,50543,87864.0,-17341.0,-14,65112,1515,46256,26.0,35461,49.0,16.0,729,1397.0,213101,1399894,344099,1958490,11070,0,639552,1307868,1958490,29.29,72.57,16.53,5.44,1.81,17413.57
643,ICICIBANK,Mar 2024,159516,74108,99560.0,-14152.0,-9,76522,1935,60434,26.0,46081,63.0,16.0,730,1405.0,254739,1651008,456911,2364063,15714,0,827163,1521186,2364063,28.89,62.41,17.99,5.22,1.95,14214.41
645,ICICIGI,Mar 2013,4012,8,4191.0,-178.0,-4,586,49,351,0.0,353,8.0,0.0,731,437.0,1433,0,10767,12637,390,10,7800,4436,12637,8.8,104.46,18.88,224.12,2.79,282.46
646,ICICIGI,Mar 2014,4352,9,4578.0,-225.0,-5,817,50,533,3.0,520,12.0,0.0,732,445.0,1949,0,12350,14744,373,17,9290,5064,14744,11.95,105.19,21.72,191.23,3.53,330.19
647,ICICIGI,Mar 2015,4234,12,4456.0,-221.0,-5,992,54,705,17.0,585,13.0,15.0,733,447.0,2439,0,11760,14646,381,9,10200,4056,14646,13.82,105.24,20.27,154.4,3.99,326.24
648,ICICIGI,Mar 2016,6033,0,5269.0,764.0,13,0,57,708,28.0,507,11.0,26.0,734,448.0,2789,0,12440,15676,510,10,11426,3730,15676,8.4,87.34,15.66,162.77,3.23,676.66
649,ICICIGI,Mar 2017,7520,0,6601.0,919.0,12,-2,7,910,23.0,702,16.0,22.0,735,451.0,3450,485,18965,23351,516,11,14806,8018,23351,9.34,87.78,18.0,150.5,3.01,831.22
650,ICICIGI,Mar 2018,6912,59,7174.0,-262.0,-4,1569,51,1196,28.0,862,19.0,17.0,736,454.0,4087,485,24723,29750,368,38,18193,11151,29750,12.47,103.79,18.98,142.74,2.9,365.79
651,ICICIGI,Mar 2019,11163,70,9494.0,1669.0,15,-2,0,1598,34.0,1049,23.0,26.0,737,454.0,4946,485,27517,33403,1965,17,20714,10707,33403,9.4,85.05,19.43,161.33,3.14,1583.95
652,ICICIGI,Mar 2020,11517,0,9745.0,1772.0,15,15,90,1697,30.0,1194,26.0,13.0,738,454.0,5680,485,30423,37042,664,12,26327,10039,37042,10.37,84.61,19.47,147.23,3.22,1687.39
653,ICICIGI,Mar 2021,12161,0,10090.0,2072.0,17,12,130,1954,25.0,1473,32.0,25.0,739,455.0,7144,485,31214,39298,717,14,30788,7779,39298,12.11,82.97,19.38,124.81,3.75,1989.03
654,ICICIGI,Mar 2022,16026,0,15010.0,1016.0,6,809,141,1684,24.0,1271,26.0,35.0,740,491.0,8702,255,41401,50848,941,11,38412,11485,50848,7.93,93.66,13.83,158.87,2.5,922.34
655,ICICIGI,Mar 2023,17876,0,16612.0,1264.0,7,991,142,2113,18.0,1729,35.0,31.0,741,491.0,9953,35,44607,55086,883,25,42836,11342,55086,9.67,92.93,16.55,158.53,3.14,1171.07
656,ICICIGI,Mar 2024,20487,0,17910.0,2577.0,13,112,134,2555,25.0,1919,39.0,28.0,742,493.0,11712,35,51068,63308,930,94,48584,13700,63308,9.37,87.42,15.72,146.32,3.03,2489.58
658,ICICIPRULI,Mar 2013,20025,14,19280.0,745.0,4,900,41,1591,5.0,1515,11.0,32.0,744,1429.0,2532,0,71260,75220,165,7,73716,1332,75220,7.57,96.28,38.25,486.75,2.01,648.72
659,ICICIPRULI,Mar 2014,21888,15,20384.0,1504.0,7,129,47,1572,1.0,1561,11.0,70.0,745,1429.0,2954,0,77090,81474,197,5,80101,1171,81474,7.13,93.13,35.61,465.07,1.92,1410.87
660,ICICIPRULI,Mar 2015,34453,17,32798.0,1655.0,5,43,40,1642,0.0,1640,11.0,51.0,746,1432.0,3833,0,95951,101215,209,6,99491,1509,101215,4.76,95.2,31.15,622.94,1.62,1559.8
661,ICICIPRULI,Mar 2016,20849,0,19008.0,1842.0,9,0,0,1842,10.0,1650,12.0,73.0,747,1432.0,3891,1029,98413,104765,212,7,103024,1522,104765,7.91,91.17,31.0,299.24,1.57,1750.83
662,ICICIPRULI,Mar 2017,37816,15,36010.0,1806.0,5,130,58,1863,10.0,1682,12.0,63.0,748,1435.0,4971,0,118335,124741,207,7,121581,2946,124741,4.45,95.22,26.26,562.13,1.35,1710.78
663,ICICIPRULI,Mar 2018,38832,20,37062.0,1771.0,5,132,44,1839,12.0,1619,11.0,59.0,749,1436.0,5138,0,135245,141819,404,18,138537,2859,141819,4.17,95.44,24.63,563.77,1.14,1675.56
664,ICICIPRULI,Mar 2019,41463,23,40922.0,541.0,1,813,57,1274,11.0,1139,8.0,40.0,750,1436.0,5435,0,156215,163086,463,13,159003,3607,163086,2.75,98.7,16.58,595.58,0.7,442.3
665,ICICIPRULI,Mar 2020,21025,0,21344.0,-319.0,-2,1578,61,1198,11.0,1067,7.0,11.0,751,1436.0,5777,0,148818,156031,932,20,150776,4303,156031,5.07,101.52,14.79,295.91,0.68,420.52
666,ICICIPRULI,Mar 2021,83182,0,83572.0,-390.0,0,1669,60,1219,22.0,956,7.0,30.0,752,1436.0,7673,1200,206911,217220,911,22,211727,4560,217220,1.15,100.47,10.5,810.67,0.44,490.47
667,ICICIPRULI,Mar 2022,63564,0,65728.0,-2163.0,-3,3191,67,961,21.0,759,5.0,10.0,753,1437.0,7721,1200,234079,244437,433,54,238101,5848,244437,1.19,103.4,8.29,634.56,0.31,2266.4
668,ICICIPRULI,Mar 2023,50478,0,52235.0,-1757.0,-3,2925,84,1085,25.0,813,6.0,11.0,754,1439.0,8651,1200,244562,255851,479,117,248216,7039,255851,1.61,103.48,8.06,462.67,0.32,1860.48
669,ICICIPRULI,Mar 2024,90307,0,92136.0,-1829.0,-2,2970,113,1028,17.0,851,6.0,10.0,755,1441.0,9564,1200,286796,299001,670,49,289728,8553,299001,0.94,102.03,7.73,754.9,0.28,1931.03
697,INDUSINDBK,Mar 2013,6983,4750,1947.0,286.0,4,1363,73,1576,33.0,1061,20.0,15.0,770,523.0,7107,63576,2100,73307,741,16,19654,52896,73307,15.19,27.88,13.91,2.73,1.45,258.12
698,INDUSINDBK,Mar 2014,8254,5363,2555.0,335.0,4,1891,98,2128,34.0,1408,27.0,13.0,771,526.0,8517,75264,2719,87026,991,25,21563,64447,87026,17.06,30.95,15.57,3.03,1.62,304.05
699,INDUSINDBK,Mar 2015,9692,6272,3133.0,288.0,3,2548,127,2709,34.0,1794,34.0,12.0,772,529.0,10115,94752,6390,111787,1120,38,22878,87751,111787,18.51,32.33,16.85,2.97,1.6,255.67000000000002
700,INDUSINDBK,Mar 2016,11872,7355,4188.0,329.0,3,3297,157,3469,34.0,2286,38.0,12.0,773,595.0,17101,117996,7205,142897,1218,37,34054,107587,142897,19.26,35.28,12.92,3.09,1.6,293.72
